age,monthly_avg_access_days,weekly_avg_access_days,weight_records,sleep_records,food_records,menstruation_records
52,24,6,273,188,9,20
31,3,2,29,58,1,1
52,23,5,180,314,47,0
34,16,4,98,250,111,12
29,2,1,3,28,14,1
32,23,6,209,289,428,1
41,26,6,228,284,231,7
26,18,5,154,211,298,7
35,21,5,2,0,0,2
39,19,4,128,459,100,6
35,18,4,194,252,83,32
44,24,5,435,409,36,29
46,20,4,265,565,21,8
35,10,2,29,145,8,2
52,6,2,12,140,23,0
47,24,5,532,523,40,34
54,28,6,628,606,901,0
33,12,3,17,251,1,1
41,26,6,254,482,134,18
31,21,5,50,220,18,1
35,8,4,17,27,6,1
28,10,3,106,36,57,4
28,25,6,314,443,152,18
30,7,3,17,51,2,3
60,28,6,426,425,523,1
41,28,6,431,420,506,14
24,21,5,151,363,156,1
31,25,6,127,387,64,2
52,28,6,4,339,8,0
54,10,3,14,194,0,0
36,10,2,6,332,1,0
44,27,6,318,333,159,11
53,28,6,22,306,34,0
49,25,6,229,333,257,1
37,18,4,14,243,1,13
61,26,6,282,291,606,0
35,15,4,1,0,0,9
37,20,5,120,314,684,11
44,26,6,297,397,642,0
25,9,3,41,177,100,5
43,20,4,85,286,219,12
55,26,6,254,298,244,1
37,25,6,254,293,35,12
58,26,6,289,288,388,1
40,27,6,30,272,8,1
43,19,5,11,248,5,0
32,27,6,295,217,404,4
36,20,5,159,201,9,2
42,22,5,176,216,183,1
38,14,3,5,145,3,1
38,19,5,89,100,101,4
29,24,6,52,169,24,1
42,22,6,154,180,5,5
43,23,6,82,209,136,4
29,27,6,258,165,414,7
52,25,6,143,156,374,5
35,24,6,89,0,0,0
32,17,4,12,113,3,1
36,4,2,42,105,93,7
30,19,4,42,373,29,18
34,23,5,71,409,5,1
36,25,5,514,603,144,27
39,20,5,115,654,378,25
22,11,3,28,36,0,1
20,21,5,459,492,24,26
22,2,2,4,3,6,0
39,24,5,660,935,290,11
48,28,6,423,101,124,0
38,20,4,56,374,85,20
42,19,4,0,3,23,14
40,29,6,582,555,237,6
35,25,6,217,177,263,17
29,6,2,88,354,14,4
19,14,3,7,217,142,12
51,25,6,375,471,478,3
46,26,6,464,495,17,21
35,20,5,249,382,55,12
42,29,6,434,437,478,13
52,27,6,400,418,1293,16
42,11,2,161,332,0,6
44,28,6,393,405,375,13
48,21,5,43,317,21,1
17,9,3,86,381,194,6
51,19,5,323,363,437,7
31,26,6,9,361,3,1
45,27,6,368,357,1034,14
30,6,2,1,280,9,2
32,15,3,40,290,26,9
22,21,5,165,337,461,12
42,18,4,184,282,145,7
40,8,3,35,337,45,5
52,18,4,174,293,1,0
28,27,6,325,331,417,11
58,15,6,71,0,0,0
42,23,5,192,296,192,1
28,6,2,30,34,23,1
35,20,5,150,245,317,10
39,9,2,5,225,16,12
52,22,5,181,244,286,12
42,13,3,69,239,20,13
51,26,6,59,48,15,1
38,12,3,14,244,1,0
50,25,6,13,309,1,1
33,20,5,79,305,190,12
41,23,6,211,283,220,5
29,14,3,11,162,25,6
36,16,6,80,99,98,1
30,26,6,230,247,605,14
51,14,4,68,124,158,0
47,3,1,2,0,0,0
46,22,5,60,610,0,6
45,15,4,108,109,165,5
57,10,2,3,315,1,0
39,24,6,177,457,20,8
56,27,6,27,0,0,0
51,28,6,591,626,1,15
63,28,6,563,400,1654,0
45,27,6,512,530,4,10
27,14,3,94,289,29,23
53,12,3,40,504,96,1
29,22,5,239,468,239,5
40,18,4,47,364,13,14
38,20,5,164,304,88,14
42,18,4,121,106,45,12
20,17,4,54,417,27,10
47,25,6,21,417,0,17
34,24,5,73,348,1,6
49,4,2,12,124,131,0
20,17,4,57,378,180,11
38,27,6,681,390,4,8
54,9,2,3,250,0,0
30,14,4,49,358,196,12
22,20,5,196,373,187,10
36,24,5,258,355,258,13
49,22,5,13,292,5,11
51,27,6,444,361,119,0
32,12,3,59,339,64,14
54,28,6,69,347,13,8
38,25,6,196,331,201,1
48,20,5,231,336,242,0
39,19,4,84,276,45,1
49,26,6,1,0,0,0
48,9,2,21,271,1,6
47,22,5,231,297,31,14
38,17,4,146,380,174,10
46,28,6,295,282,224,0
35,24,5,46,251,21,2
50,27,6,85,79,3,1
49,25,6,199,283,620,8
48,14,3,46,176,11,3
31,27,6,267,276,520,9
31,24,6,207,271,279,10
38,17,4,71,268,115,10
56,26,6,151,230,350,0
43,27,6,246,249,526,0
67,25,6,10,242,5,0
47,23,5,205,239,423,0
52,24,5,312,968,0,28
55,25,5,205,415,401,2
42,7,3,0,45,49,0
33,23,5,30,155,12,28
16,21,5,121,381,116,2
48,28,6,338,519,9,10
28,18,4,154,292,284,5
59,27,6,506,500,1757,0
33,22,6,70,125,2,6
29,7,2,3,43,19,4
25,16,5,5,92,3,0
58,28,6,145,451,1335,1
49,22,5,547,433,509,0
44,26,6,122,438,12,2
36,14,3,56,400,0,3
31,14,3,15,447,34,0
24,4,2,10,19,0,3
46,28,6,226,399,0,0
47,21,5,4,381,122,14
18,11,3,139,245,0,12
55,19,4,155,365,29,1
29,14,4,6,226,44,3
20,5,2,11,101,31,6
46,10,2,17,295,19,17
40,26,6,132,358,54,18
29,26,6,212,347,392,6
34,16,4,12,268,89,14
62,22,5,594,334,201,0
34,27,6,320,329,396,9
53,27,6,256,325,1069,10
51,11,3,77,326,0,7
50,11,3,1,104,0,0
40,12,4,1,37,126,3
54,23,6,279,287,580,0
45,26,6,302,313,306,0
34,16,4,19,288,17,15
43,21,5,22,322,32,12
20,16,4,65,183,325,17
59,25,5,237,271,394,1
29,22,5,198,313,7,0
27,22,5,29,321,110,0
45,28,6,288,307,955,0
51,17,4,4,202,1,0
26,12,4,55,63,37,1
38,18,4,44,266,18,13
51,5,2,4,60,0,0
24,10,4,40,87,28,1
33,15,4,49,225,81,7
51,25,6,75,274,8,1
41,24,5,1,407,0,8
34,17,5,0,102,33,0
35,13,3,82,187,3,6
46,24,5,221,335,309,28
42,6,2,16,48,60,5
31,28,6,628,633,656,6
34,10,3,10,48,7,2
51,8,2,2,210,0,0
47,28,6,508,513,598,1
50,24,5,291,507,347,1
47,24,5,344,466,483,5
34,27,6,336,683,267,14
19,21,5,43,230,4,0
27,22,5,264,477,796,19
19,7,2,4,42,0,1
25,17,5,113,391,206,10
42,27,6,440,441,656,14
47,23,5,6,377,1,19
47,20,5,22,266,3,8
53,24,5,352,420,279,16
28,26,6,38,419,2,1
37,28,6,146,401,43,5
38,10,3,5,68,0,1
31,19,4,35,389,36,4
36,28,6,382,396,419,13
38,11,4,29,136,32,4
34,17,4,2,259,8,12
46,13,3,45,225,17,12
26,28,6,113,357,35,13
38,18,4,128,347,0,2
36,25,6,81,329,20,14
49,20,4,259,342,482,1
61,17,4,1,335,0,0
47,26,6,359,298,997,0
50,17,4,46,321,45,10
54,19,5,5,324,0,0
39,24,6,258,378,230,2
31,19,4,156,248,59,18
28,24,5,210,306,212,1
40,24,5,32,303,67,12
66,27,6,303,306,1073,0
40,28,6,228,281,0,11
29,19,4,9,276,16,1
33,19,4,128,271,128,1
49,11,4,15,74,0,7
26,24,6,249,245,37,13
28,19,4,105,256,10,1
53,23,6,1,170,0,1
35,28,6,415,253,584,9
39,24,5,545,595,655,2
50,4,2,67,208,14,0
45,27,6,640,522,524,29
36,10,2,1,3,0,25
31,29,6,994,608,282,19
43,27,6,262,117,178,19
39,28,6,382,540,361,15
42,7,2,6,89,3,3
39,25,6,427,446,459,13
61,29,6,1,469,2,0
35,7,2,76,29,0,2
35,28,6,462,450,645,17
32,10,3,1,370,1,1
30,18,4,15,347,3,15
21,10,3,15,438,9,11
29,18,4,30,432,1,11
37,17,4,50,297,88,7
39,25,6,179,433,468,12
16,4,1,2,226,3,1
27,9,4,4,24,65,2
61,25,6,379,384,119,0
32,22,5,8,376,179,3
33,14,4,236,41,0,7
45,21,5,79,181,220,19
51,26,6,170,678,661,10
42,24,6,265,357,245,14
47,27,6,341,353,1430,12
27,20,5,219,343,384,0
44,27,6,205,338,217,0
54,25,6,281,301,3,0
40,22,5,90,283,274,14
57,28,6,301,335,257,0
34,4,1,19,335,4,0
34,22,5,15,329,17,9
32,10,4,23,161,17,0
50,18,4,8,300,8,15
51,25,6,439,319,5,4
39,19,4,66,246,52,6
29,26,6,24,299,18,3
33,26,6,296,301,595,9
47,8,2,1,293,0,7
27,26,6,276,289,282,1
52,26,6,118,294,14,0
57,26,6,2,285,0,0
36,25,6,223,283,442,11
39,15,4,78,168,388,12
44,27,6,236,274,353,11
30,12,4,8,140,19,2
30,17,4,89,245,66,2
42,25,6,2,234,0,0
24,23,5,115,479,12,22
48,18,4,20,4,7,0
81,5,3,47,27,2,1
45,7,3,25,47,1,1
36,23,5,40,519,273,18
49,22,5,14,447,16,0
54,23,6,294,296,845,0
47,26,6,392,445,1,15
42,9,2,11,42,9,5
58,9,3,2,0,2,0
28,23,5,311,407,522,15
39,23,5,93,389,165,14
60,21,5,4,409,0,0
36,14,4,121,400,5,1
29,26,6,165,382,904,11
38,23,5,75,370,79,15
54,27,6,358,330,7,0
45,25,6,109,381,175,16
55,28,6,408,376,339,0
28,9,4,8,33,12,1
61,28,6,60,340,0,0
38,26,6,263,300,329,3
51,27,6,320,332,443,1
35,24,5,7,323,1,1
39,24,6,256,322,32,10
38,13,4,20,152,11,4
46,25,6,239,145,0,0
57,26,6,403,475,562,0
34,19,5,45,316,15,5
56,24,6,298,290,353,0
44,28,6,798,0,0,0
28,25,6,144,300,121,0
44,24,6,242,284,2,0
30,24,6,175,287,25,9
45,27,6,269,274,659,10
29,7,3,39,29,35,3
38,23,6,2,230,15,5
33,26,6,10,212,76,6
35,8,2,40,244,4,3
31,26,6,14,172,3,5
40,26,6,157,188,249,8
43,14,3,14,172,23,6
32,14,3,53,132,141,7
65,16,4,29,149,10,1
37,22,5,97,161,60,5
29,17,4,2,0,29,5
32,24,6,57,151,98,4
59,22,6,65,144,430,0
35,23,6,115,142,12,6
50,13,3,43,155,38,1
